Metric,8/13/2025,10/3/2025,12/9/2025,2/14/2026,4/9/2026,6/4/2026,8/5/2026
Weight,157.3,156.4,156.6,155.9,153.2,154.7,153.9
Skeletal Muscle Mass,54.9,56.7,55.3,55.8,56,56.2,55.8
Percent Body Fat,35.7,34.1,35.8,34.9,34.2,34.1,34.3
ECW/TBW,0.389,0.381,0.382,0.379,0.375,0.378,0.378
Body Fat Mass,53,53,53,53,53,52.8,52.7
Left Arm,5.79,5.79,5.79,5.79,5.81,5.86,5.73
Right Arm,5.51,5.51,5.51,5.51,5.51,5.51,5.78
Trunk,48.5,48.5,48.5,48.5,48.5,48.5,49.3
Right Leg,14.95,14.95,14.95,14.95,14.95,14.95,14.71
Left Leg,14.82,14.82,14.82,14.82,14.82,14.82,14.66
